dorsal,ventral,occipital,frontal
60,96,96,100
64,4,64,100
92,96,100,108
40,92,60,96
64,96,64,108
40,96,64,8
64,80,64,100
52,24,28,96
32,92,124,100
84,96,72,144
64,92,100,100
16,28,64,8
164,100,68,164
40,88,96,96
28,92,100,96
64,96,12,64
32,112,48,96
88,96,64,64
28,96,96,12
52,76,52,168
36,64,64,168
28,80,64,116
92,76,52,112
64,68,4,100
84,88,64,168
48,96,76,108
84,96,72,164
112,96,100,104
64,64,72,96
32,0,60,168
64,0,8,64
52,96,52,168
64,80,28,96
40,96,64,8
92,100,64,128
64,92,84,100
124,96,84,108
64,84,64,100
80,88,72,132
52,24,64,8
8,28,64,156
64,0,8,104
84,24,64,16
84,24,64,100
40,88,72,108
80,96,72,108
56,32,60,108
88,92,96,68
88,96,100,128
16,24,12,16
60,96,124,8
40,92,64,128
0,0,12,4
48,96,96,68
64,24,64,108
16,24,12,16
20,96,48,112
88,136,48,60
80,0,76,96
40,96,96,168
112,100,48,16
36,96,48,132
32,96,64,116
64,96,12,16
0,0,72,4
60,92,64,104
40,96,96,164
48,92,100,96
148,144,68,168
64,4,8,100
12,0,12,16
