,corrs,x_coord,y_coord,offset,label
298,0.3454693059760899,[4],[2],[8],Ventral
299,0.47575418422838445,[4],[3],[4],Ventral
300,0.5516355688294359,[4],[4],[0],Same
301,0.514239193447726,[4],[5],[-4],Dorsal
302,0.4171092207813979,[4],[6],[-8],Dorsal
303,0.2953095410001419,[4],[7],[-12],Dorsal
304,0.21600970370672817,[4],[8],[-16],Dorsal
305,0.18627803731072734,[4],[9],[-20],Dorsal
306,0.18348668185409417,[4],[10],[-24],Dorsal
307,0.12868333905201176,[4],[11],[-28],Dorsal
308,0.1072018432829876,[4],[12],[-32],Dorsal
309,0.10816266068754453,[4],[13],[-36],Dorsal
310,0.11294757463911459,[4],[14],[-40],Dorsal
311,0.09663441921678419,[4],[15],[-44],Dorsal
312,0.047469879926526425,[4],[16],[-48],Dorsal
313,0.006852258990553748,[4],[17],[-52],Dorsal
314,-0.02303247712240481,[4],[18],[-56],Dorsal
315,-0.10125969048779072,[4],[19],[-60],Dorsal
316,-0.13574384069724302,[4],[20],[-64],Dorsal
317,-0.13041430594517117,[4],[21],[-68],Dorsal
318,-0.10307114020260243,[4],[22],[-72],Dorsal
319,-0.10218102578537158,[4],[23],[-76],Dorsal
320,-0.12522660749642914,[4],[24],[-80],Dorsal
321,-0.14155701958929695,[4],[25],[-84],Dorsal
322,-0.13649338366082975,[4],[26],[-88],Dorsal
323,-0.11003802337694622,[4],[27],[-92],Dorsal
324,-0.053224968017759146,[4],[28],[-96],Dorsal
325,-0.02721628582027307,[4],[29],[-100],Dorsal
326,-0.010681848177480536,[4],[30],[-104],Dorsal
327,0.012103811303603298,[4],[31],[-108],Dorsal
328,0.022344983853269624,[4],[32],[-112],Dorsal
329,0.017307264400016092,[4],[33],[-116],Dorsal
330,0.043293254667780084,[4],[34],[-120],Dorsal
331,0.07987856778633595,[4],[35],[-124],Dorsal
332,0.13048913181128338,[4],[36],[-128],Dorsal
333,0.16058902503341593,[4],[37],[-132],Dorsal
334,0.15824143941354366,[4],[38],[-136],Dorsal
335,0.11875298568291344,[4],[39],[-140],Dorsal
336,0.06490851024618945,[4],[40],[-144],Dorsal
337,0.0020163574209290302,[4],[41],[-148],Dorsal
338,-0.05657514219731614,[4],[42],[-152],Dorsal
